"data_bulletin","week","country","cases","cumulative"
2022-07-01,"2022-11","Denmark",0,3
2022-07-01,"2022-12","Denmark",2,5
2022-07-01,"2022-13","Denmark",0,5
2022-07-01,"2022-14","Denmark",1,6
2022-07-01,"2022-15","Denmark",0,6
2022-07-01,"2022-16","Denmark",1,7
2022-07-01,"2022-17","Denmark",0,7
2022-07-01,"2022-18","Denmark",0,7
2022-07-01,"2022-19","Denmark",0,7
2022-07-01,"2022-20","Denmark",0,7
2022-07-01,"2022-21","Denmark",0,7
2022-07-01,"2022-22","Denmark",0,7
2022-07-01,"2022-23","Denmark",0,7
2022-07-01,"2022-24","Denmark",0,7
2022-07-01,"2022-25","Denmark",0,7
2022-06-17,"2021-39","France",0,0
2022-06-17,"2021-40","France",0,0
2022-06-17,"2021-41","France",0,0
2022-06-17,"2021-42","France",0,0
2022-06-17,"2021-43","France",0,0
2022-06-17,"2021-44","France",0,0
2022-06-17,"2021-45","France",0,0
2022-06-17,"2021-46","France",0,0
2022-06-17,"2021-47","France",0,0
2022-06-17,"2021-48","France",0,0
2022-06-17,"2021-49","France",0,0
2022-06-17,"2021-50","France",0,0
2022-06-17,"2021-51","France",0,0
2022-06-17,"2021-52","France",0,0
2022-06-17,"2022-01","France",0,0
2022-06-17,"2022-02","France",0,0
2022-06-17,"2022-03","France",0,0
2022-06-17,"2022-04","France",0,0
2022-06-17,"2022-05","France",0,0
2022-06-17,"2022-06","France",0,0
2022-06-17,"2022-07","France",0,0
2022-06-17,"2022-08","France",0,0
2022-06-17,"2022-09","France",1,1
2022-06-17,"2022-10","France",0,1
2022-06-17,"2022-11","France",0,1
2022-06-17,"2022-12","France",0,1
2022-06-17,"2022-13","France",1,2
2022-06-17,"2022-14","France",0,2
2022-06-17,"2022-15","France",0,2
2022-06-17,"2022-16","France",0,2
2022-06-17,"2022-17","France",0,2
2022-06-17,"2022-18","France",2,4
2022-06-17,"2022-19","France",1,5
2022-06-17,"2022-20","France",2,7
2022-06-17,"2022-21","France",0,7
2022-06-17,"2022-22","France",0,7
2022-06-17,"2022-23","France",0,7
2022-06-17,"2022-24","France",0,7
2022-07-01,"2021-39","France",0,0
2022-07-01,"2021-40","France",0,0
2022-07-01,"2021-41","France",0,0
2022-07-01,"2021-42","France",0,0
2022-07-01,"2021-43","France",0,0
2022-07-01,"2021-44","France",0,0
2022-07-01,"2021-45","France",0,0
2022-07-01,"2021-46","France",0,0
2022-07-01,"2021-47","France",0,0
2022-07-01,"2021-48","France",0,0
2022-07-01,"2021-49","France",0,0
2022-07-01,"2021-50","France",0,0
2022-07-01,"2021-51","France",0,0
2022-07-01,"2021-52","France",1,1
2022-07-01,"2022-01","France",0,1
2022-07-01,"2022-02","France",0,1
2022-07-01,"2022-03","France",0,1
2022-07-01,"2022-04","France",0,1
2022-07-01,"2022-05","France",0,1
2022-07-01,"2022-06","France",0,1
2022-07-01,"2022-07","France",0,1
2022-07-01,"2022-08","France",0,1
2022-07-01,"2022-09","France",1,2
2022-07-01,"2022-10","France",1,3
2022-07-01,"2022-11","France",0,3
2022-07-01,"2022-12","France",0,3
2022-07-01,"2022-13","France",0,3
2022-07-01,"2022-14","France",0,3
2022-07-01,"2022-15","France",0,3
2022-07-01,"2022-16","France",0,3
2022-07-01,"2022-17","France",0,3
2022-07-01,"2022-18","France",2,5
2022-07-01,"2022-19","France",1,6
2022-07-01,"2022-20","France",1,7
2022-07-01,"2022-21","France",0,7
2022-07-01,"2022-22","France",0,7
2022-07-01,"2022-23","France",0,7
2022-07-01,"2022-24","France",0,7
2022-07-01,"2022-25","France",0,7
2022-06-17,"2021-39","Greece",0,0
2022-06-17,"2021-40","Greece",0,0
2022-06-17,"2021-41","Greece",0,0
2022-06-17,"2021-42","Greece",0,0
2022-06-17,"2021-43","Greece",0,0
2022-06-17,"2021-44","Greece",0,0
2022-06-17,"2021-45","Greece",0,0
2022-06-17,"2021-46","Greece",0,0
2022-06-17,"2021-47","Greece",0,0
2022-06-17,"2021-48","Greece",0,0
2022-06-17,"2021-49","Greece",0,0
2022-06-17,"2021-50","Greece",0,0
2022-06-17,"2021-51","Greece",0,0
2022-06-17,"2021-52","Greece",0,0
2022-06-17,"2022-01","Greece",0,0
2022-06-17,"2022-02","Greece",0,0
2022-06-17,"2022-03","Greece",0,0
2022-06-17,"2022-04","Greece",0,0
2022-06-17,"2022-05","Greece",0,0
